timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
2025-03-09 09:45,AAPL,BUY,4,259.887,235.92,-95.868,11508.38
2025-03-09 10:50,META,BUY,8,570.948,607.074,289.008,11797.39
2025-03-09 10:54,AAPL,BUY,4,267.409,271.266,15.428,11812.82
2025-03-09 11:26,NVDA,BUY,8,146.257,146.693,3.488,11816.31
2025-03-09 12:29,TSLA,BUY,2,414.319,410.331,-7.976,11808.33
2025-03-09 12:47,TSLA,BUY,2,417.597,420.31,5.426,11813.76
2025-03-09 13:29,AMZN,BUY,5,207.341,190.802,-82.695,11731.07
2025-03-10 09:30,MSFT,BUY,10,433.398,462.572,291.74,12022.81
2025-03-10 09:32,GOOGL,BUY,6,185.122,187.879,16.542,12039.35
2025-03-10 10:18,NVDA,BUY,8,143.328,142.161,-9.336,12030.01
2025-03-10 11:05,AAPL,BUY,4,260.957,266.33,21.492,12051.5
2025-03-10 12:05,NFLX,BUY,1,650.906,556.585,-94.321,11957.18
2025-03-10 15:34,NVDA,BUY,33,143.382,140.103,-108.207,11848.97
2025-03-10 15:37,AAPL,BUY,18,254.24,268.387,254.646,12103.62
2025-03-10 15:44,NVDA,BUY,8,143.993,142.257,-13.888,12089.73
2025-03-11 09:30,TSLA,BUY,2,414.17,416.026,3.712,12093.44
2025-03-11 10:07,AMZN,BUY,5,210.557,212.297,8.7,12102.14
2025-03-11 10:23,MSFT,BUY,2,431.724,436.055,8.662,12110.8
2025-03-11 10:32,META,BUY,2,593.503,597.231,7.456,12118.26
2025-03-11 10:48,AAPL,BUY,4,266.723,259.687,-28.144,12090.12
2025-03-11 11:47,NVDA,BUY,8,145.551,146.274,5.784,12095.9
2025-03-11 12:02,META,BUY,2,593.835,593.987,0.304,12096.2
2025-03-11 12:17,NFLX,BUY,1,661.923,664.692,2.769,12098.97
2025-03-11 13:11,META,BUY,2,597.265,602.693,10.856,12109.83
2025-03-11 14:00,NFLX,BUY,1,652.376,655.009,2.633,12112.46
2025-03-11 14:33,META,BUY,2,572.839,569.257,-7.164,12105.3
2025-03-11 15:41,NFLX,BUY,1,652.022,610.793,-41.229,12064.07
2025-03-12 09:30,NFLX,BUY,7,641.692,613.403,-198.023,11866.05
2025-03-12 09:32,NVDA,BUY,32,145.419,151.152,183.456,12049.51
2025-03-12 09:47,TSLA,BUY,2,414.731,411.896,-5.67,12043.84
2025-03-12 10:47,MSFT,BUY,2,424.401,427.566,6.33,12050.17
2025-03-12 11:13,AAPL,BUY,4,262.565,268.38,23.26,12073.43
2025-03-12 12:09,AMZN,BUY,5,218.46,219.074,3.07,12076.5
2025-03-12 12:58,TSLA,BUY,2,424.788,370.819,-107.938,11968.56
2025-03-12 15:53,MSFT,BUY,11,433.554,445.811,134.827,12103.39
2025-03-12 15:59,MSFT,BUY,2,440.44,447.655,14.43,12117.82
2025-03-13 09:30,TSLA,BUY,2,404.931,372.336,-65.19,12052.63
2025-03-13 12:13,MSFT,BUY,11,420.05,410.76,-102.19,11950.44
2025-03-13 12:16,TSLA,BUY,11,403.873,375.817,-308.616,11641.82
2025-03-13 12:19,META,BUY,7,583.448,595.385,83.559,11725.38
2025-03-13 12:25,TSLA,BUY,2,429.888,433.406,7.036,11732.42
2025-03-13 13:13,TSLA,BUY,2,408.796,354.324,-108.944,11623.48
2025-03-14 09:30,TSLA,BUY,11,419.425,441.764,245.729,11869.21
2025-03-14 09:42,AMZN,BUY,5,211.311,206.818,-22.465,11846.74
2025-03-14 10:16,MSFT,BUY,2,433.709,394.7,-78.018,11768.72
2025-03-14 12:33,META,BUY,8,576.479,588.803,98.592,11867.31
2025-03-14 12:42,NVDA,BUY,8,145.533,145.97,3.496,11870.81
2025-03-14 12:53,NVDA,BUY,7,149.876,153.003,21.889,11892.7
2025-03-14 13:19,TSLA,BUY,2,402.809,404.717,3.816,11896.52
2025-03-14 13:57,GOOGL,BUY,6,193.684,182.935,-64.494,11832.03
2025-03-15 09:30,GOOGL,BUY,24,196.097,181.431,-351.984,11480.05
2025-03-15 09:33,GOOGL,BUY,24,187.209,195.063,188.496,11668.55
2025-03-15 09:39,AAPL,BUY,4,260.019,260.393,1.496,11670.05
2025-03-15 10:02,NFLX,BUY,1,644.217,551.439,-92.778,11577.27
2025-03-15 11:57,NFLX,BUY,7,648.456,632.46,-111.972,11465.3
2025-03-15 11:59,TSLA,BUY,11,403.646,418.153,159.577,11624.88
2025-03-15 12:10,NFLX,BUY,1,644.546,645.759,1.213,11626.09
2025-03-15 12:22,AMZN,BUY,5,207.356,194.256,-65.5,11560.59
2025-03-15 15:15,NVDA,BUY,30,149.485,143.544,-178.23,11382.36
2025-03-15 15:17,TSLA,BUY,11,398.491,371.713,-294.558,11087.8
2025-03-15 15:22,MSFT,BUY,10,413.672,381.844,-318.28,10769.52
2025-03-15 15:28,AMZN,BUY,20,208.407,195.816,-251.82,10517.7
2025-03-15 15:32,NFLX,BUY,6,662.645,614.519,-288.756,10228.94
2025-03-15 15:35,META,BUY,7,576.438,537.267,-274.197,9954.74
2025-03-15 15:38,NVDA,BUY,26,148.87,139.256,-249.964,9704.78
2025-03-15 15:40,AMZN,BUY,18,212.532,227.934,277.236,9982.02
2025-03-15 15:44,AMZN,BUY,4,211.049,209.635,-5.656,9976.36
2025-03-15 15:56,AMZN,BUY,4,203.331,205.787,9.824,9986.18
2025-03-16 09:30,NVDA,BUY,7,138.737,140.87,14.931,10001.11
2025-03-16 10:15,GOOGL,BUY,5,191.496,194.193,13.485,10014.6
2025-03-16 10:46,MSFT,BUY,2,421.464,422.947,2.966,10017.57
2025-03-16 11:44,NVDA,BUY,6,143.556,132.943,-63.678,9953.89
2025-03-16 14:13,TSLA,BUY,9,402.62,394.022,-77.382,9876.51
2025-03-16 14:16,AAPL,BUY,15,256.602,272.114,232.68,10109.19
2025-03-16 14:24,NVDA,BUY,7,142.957,141.356,-11.207,10097.98
2025-03-16 15:02,MSFT,BUY,2,443.62,452.006,16.772,10114.75
2025-03-16 15:51,NFLX,BUY,1,660.942,669.494,8.552,10123.3
2025-03-17 09:30,AAPL,BUY,3,262.829,263.917,3.264,10126.56
2025-03-17 09:53,TSLA,BUY,2,400.822,410.93,20.216,10146.78
2025-03-17 10:00,MSFT,BUY,2,447.276,449.37,4.188,10150.97
2025-03-17 10:33,AMZN,BUY,5,200.648,198.483,-10.825,10140.14
2025-03-17 11:42,NVDA,BUY,6,149.969,151.875,11.436,10151.58
2025-03-17 12:39,GOOGL,BUY,5,195.331,168.051,-136.4,10015.18
2025-03-17 15:47,AAPL,BUY,15,257.407,248.331,-136.14,9879.04
2025-03-17 15:52,META,BUY,6,568.945,539.412,-177.198,9701.84
2025-03-17 15:55,NFLX,BUY,5,668.893,626.521,-211.86,9489.98
2025-03-17 15:59,AAPL,BUY,14,263.31,251.448,-166.068,9323.91
2025-03-18 09:30,MSFT,BUY,8,427.642,409.677,-143.72,9180.19
2025-03-18 09:35,META,BUY,6,581.192,611.967,184.65,9364.84
2025-03-18 09:49,AAPL,BUY,3,266.652,267.508,2.568,9367.41
2025-03-18 10:11,GOOGL,BUY,4,189.243,192.509,13.064,9380.47
2025-03-18 10:28,NVDA,BUY,6,145.919,144.3,-9.714,9370.76
2025-03-18 11:31,META,BUY,1,587.069,527.038,-60.031,9310.73
2025-03-18 13:26,META,BUY,6,584.52,547.398,-222.732,9088.0
2025-03-18 13:30,TSLA,BUY,8,416.787,396.93,-158.856,8929.14
2025-03-18 13:33,MSFT,BUY,8,410.095,397.687,-99.264,8829.88
2025-03-18 13:37,AAPL,BUY,13,253.202,238.21,-194.896,8634.98
2025-03-18 13:38,AMZN,BUY,16,206.031,200.667,-85.824,8549.16
2025-03-18 13:41,NVDA,BUY,23,147.972,137.874,-232.254,8316.91
2025-03-18 13:44,NFLX,BUY,5,655.95,670.276,71.63,8388.54
2025-03-18 13:52,NVDA,BUY,5,141.08,142.226,5.73,8394.27
2025-03-18 14:46,TSLA,BUY,2,418.345,417.919,-0.852,8393.42
2025-03-18 15:40,NVDA,BUY,5,147.34,147.212,-0.64,8392.78
2025-03-19 09:30,NFLX,BUY,1,670.051,676.7,6.649,8399.43
2025-03-19 10:25,AAPL,BUY,3,258.238,260.91,8.016,8407.45
2025-03-19 11:32,META,BUY,1,581.873,582.322,0.449,8407.9
2025-03-19 11:47,AMZN,BUY,4,209.126,207.931,-4.78,8403.12
2025-03-19 12:29,GOOGL,BUY,4,189.084,189.22,0.544,8403.66
2025-03-19 13:26,TSLA,BUY,2,418.232,422.02,7.576,8411.24
2025-03-19 14:04,MSFT,BUY,1,431.9,436.157,4.257,8415.5
2025-03-19 14:53,META,BUY,1,590.858,585.816,-5.042,8410.46
2025-03-19 15:22,META,BUY,1,582.298,580.669,-1.629,8408.83
2025-03-19 15:47,AMZN,BUY,3,213.314,211.971,-4.029,8404.8
2025-03-19 15:59,META,BUY,1,583.746,586.047,2.301,8407.1
2025-03-20 09:30,GOOGL,BUY,4,195.169,197.845,10.704,8417.8
2025-03-20 10:09,META,BUY,1,586.152,593.624,7.472,8425.27
2025-03-20 10:31,AAPL,BUY,3,258.406,224.627,-101.337,8323.93
2025-03-20 12:33,NFLX,BUY,5,637.182,616.915,-101.335,8222.6
2025-03-20 12:37,TSLA,BUY,7,412.42,400.157,-85.841,8136.76
2025-03-20 12:41,GOOGL,BUY,17,190.871,186.318,-77.401,8059.36
2025-03-20 12:43,META,BUY,5,562.83,580.83,90.0,8149.36
2025-03-20 12:50,MSFT,BUY,1,434.188,430.745,-3.443,8145.92
2025-03-20 13:12,AMZN,BUY,3,208.864,209.696,2.496,8148.42
2025-03-20 13:52,NFLX,BUY,1,658.298,665.428,7.13,8155.55
2025-03-20 14:16,MSFT,BUY,1,425.852,421.887,-3.965,8151.59
2025-03-20 15:05,META,BUY,1,578.047,582.482,4.435,8156.03
2025-03-20 15:57,NFLX,BUY,1,653.485,663.593,10.108,8166.14
2025-03-21 09:30,META,BUY,1,605.124,601.531,-3.593,8162.55
2025-03-21 09:59,MSFT,BUY,1,429.719,433.242,3.523,8166.07
2025-03-21 10:49,MSFT,BUY,1,424.919,427.184,2.265,8168.34
2025-03-21 11:53,MSFT,BUY,1,443.754,434.891,-8.863,8159.48
2025-03-21 12:37,TSLA,BUY,1,411.537,412.814,1.277,8160.76
2025-03-21 13:17,AAPL,BUY,3,253.574,252.719,-2.565,8158.2
2025-03-21 14:23,NVDA,BUY,5,145.048,142.966,-10.41,8147.79
2025-03-21 15:28,TSLA,BUY,2,402.87,403.135,0.53,8148.32
2025-03-21 15:39,TSLA,BUY,1,415.811,422.872,7.061,8155.38
2025-03-22 09:30,AAPL,BUY,3,262.847,263.588,2.223,8157.6
2025-03-22 10:32,GOOGL,BUY,4,184.774,184.306,-1.872,8155.73
2025-03-22 10:52,TSLA,BUY,2,404.382,405.416,2.068,8157.8
2025-03-22 11:48,NVDA,BUY,5,143.597,141.599,-9.99,8147.81
2025-03-22 12:27,AAPL,BUY,3,258.466,262.255,11.367,8159.18
2025-03-22 13:32,TSLA,BUY,2,403.067,410.019,13.904,8173.08
2025-03-22 14:25,MSFT,BUY,1,437.721,433.049,-4.672,8168.41
2025-03-22 14:57,AMZN,BUY,3,208.89,211.852,8.886,8177.3
2025-03-22 15:42,AAPL,BUY,3,252.124,252.501,1.131,8178.43
2025-03-23 09:30,NVDA,BUY,5,147.334,148.527,5.965,8184.4
2025-03-23 09:52,AAPL,BUY,3,255.682,256.907,3.675,8188.07
2025-03-23 10:59,META,BUY,1,590.5,603.589,13.089,8201.16
2025-03-23 11:19,MSFT,BUY,1,421.842,424.602,2.76,8203.92
2025-03-23 11:50,META,BUY,1,590.591,588.683,-1.908,8202.01
2025-03-23 12:42,MSFT,BUY,1,438.558,429.33,-9.228,8192.78
2025-03-23 13:28,META,BUY,1,566.579,568.892,2.313,8195.09
2025-03-23 14:11,GOOGL,BUY,4,198.919,200.348,5.716,8200.81
2025-03-23 14:44,AAPL,BUY,3,254.536,254.819,0.849,8201.66
2025-03-23 15:10,NVDA,BUY,5,150.023,151.45,7.135,8208.8
2025-03-23 15:36,NFLX,BUY,1,650.364,653.202,2.838,8211.64
2025-03-24 09:30,META,BUY,1,584.258,583.096,-1.162,8210.48
2025-03-24 09:37,GOOGL,BUY,4,191.136,164.781,-105.42,8105.06
2025-03-24 12:22,NVDA,BUY,22,143.15,139.886,-71.808,8033.25
2025-03-24 12:24,AMZN,BUY,15,212.834,197.575,-228.885,7804.36
2025-03-24 12:27,GOOGL,BUY,16,189.477,184.233,-83.904,7720.46
2025-03-24 12:32,NVDA,BUY,21,141.535,136.342,-109.053,7611.41
2025-03-24 12:36,NVDA,BUY,20,148.168,152.43,85.24,7696.65
2025-03-24 12:42,META,BUY,1,579.775,584.201,4.426,7701.08
2025-03-24 13:20,MSFT,BUY,1,411.383,415.992,4.609,7705.69
2025-03-24 14:12,TSLA,BUY,1,413.602,417.245,3.643,7709.33
2025-03-24 14:46,AAPL,BUY,3,256.103,255.06,-3.129,7706.2
2025-03-24 15:52,TSLA,BUY,1,410.861,419.65,8.789,7714.99
2025-03-25 09:30,GOOGL,BUY,4,188.399,188.247,-0.608,7714.38
2025-03-25 10:21,NFLX,BUY,1,621.322,626.566,5.244,7719.62
